archetype,macro_archetype
Belcher,Combo
4c Midrange,Midrange
Selective Oracle,Combo
Murktide,Tempo
Dimir Midrange,Midrange
Goryo's Vengeance,Combo
Tameshi Combo,Combo
Splinter Twin,Combo
Electro Rhinos,Tempo
Izzet Tempo,Tempo
Grixis Control,Control
Izzet Control,Control
Song of Creation,Combo
Living End,Combo
Merfolk,Tempo
Mill,Control
Oops! All Spells,Combo
Twiddle Storm,Combo
Affinity,Aggro
Ad Nauseam,Combo
Naya Midrange,Midrange
Energy,Aggro
Boros Midrange,Midrange
Domain Zoo,Aggro
Sam Combo,Combo
Hammer Time,Aggro
Breach,Combo
4c Control,Control
Grinding Station,Combo
5c Midrange,Midrange
Omnath,Midrange
Mardu Midrange,Midrange
Ruby Storm,Combo
Jeskai Midrange,Midrange
Jeskai Control,Control
Sacrifice,Aggro
Generic Ragavan,Midrange
Burn,Aggro
Indomitable Creativity,Combo
Orzhov Midrange,Midrange
Prowess,Aggro
Crashing Footfalls,Combo
Cheeri0s,Combo
Gruul Midrange,Midrange
Esper Midrange,Midrange
Abzan Midrange,Midrange
Death & Taxes,Midrange
The Rock,Midrange
Bant Midrange,Midrange
Selesnya Midrange,Midrange
Lifegain,Aggro
Kiki Chord,Combo
Azorius Control,Control
Spirits,Tempo
Enchantress,Control
Eldrazi Ramp,Aggro
Asmo Food,Midrange
Rakdos Midrange,Midrange
Saga,Midrange
Hollow One,Combo
Delirium,Aggro
Eldrazi,Aggro
Phoenix,Tempo
Skelementals,Midrange
Through the Breach,Combo
Death's Shadow,Tempo
Stoneblade,Midrange
Humans,Aggro
Thopter Combo,Combo
Basking Broodscale Combo,Combo
Yawgmoth,Combo
Hardened Scales,Aggro
Lantern,Control
Eldrazi Tron,Aggro
Golgari Aggro,Aggro
Mono-Black Midrange,Midrange
Amulet Titan,Combo
Kethis Combo,Combo
Tron,Control
Glimpse Combo,Combo
Infect,Combo
Elementals,Midrange
Neobrand,Combo
Reanimator,Combo
Grixis Midrange,Midrange
Coffers,Midrange
Aristocrats,Midrange
Seismic Assault,Combo
Blink,Midrange
Miracles,Control
Wilderness Reclamation,Combo
Simic Midrange,Midrange
Dredge,Combo
Storm,Combo
Venerated Rotpriest,Combo
